x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,event,p
0.0,1.4,-0.2,7.3,7.3,3.4,5.0,11.8,0.2,8.1,1.0,0.8906926215595964
0.1,-8.1,-0.9,-3.9,-3.9,5.4,2.3,2.8,0.3,5.4,1.0,0.9581079453714691
1.7,0.1,-0.5,-3.6,-3.6,9.1,3.2,10.8,1.2,27.8,1.0,0.9598416323694522
0.1,0.4,-1.8,-8.4,-8.4,-7.4,2.5,3.8,1.1,6.2,1.0,0.9352028996678464
0.4,6.6,-0.5,-4.1,-4.1,5.3,8.6,1.9,0.6,2.6,1.0,0.9636696232136291
4.4,-7.0,-10.0,-8.7,-8.7,8.1,0.9,3.9,2.2,1.0,0.0,0.9609322184875982
5.8,2.1,-3.5,0.8,0.8,10.2,2.9,10.8,1.2,1.8,1.0,0.9389329252170796
-2.0,-2.6,0.4,2.8,2.8,-1.2,20.4,0.7,0.0,0.5,1.0,0.9540630672079214
9.9,-0.6,-14.0,-11.9,-11.9,3.5,1.3,4.4,11.9,5.7,1.0,0.9588972461250926
4.2,-0.1,-6.5,-7.7,-7.7,5.2,2.1,4.8,2.2,1.1,1.0,0.9559827978629741
-0.8,0.1,0.6,4.8,4.8,-4.5,19.0,4.1,0.1,1.4,1.0,0.9302157920558198
2.0,25.5,-0.8,-7.7,-7.7,10.2,1.6,5.7,1.6,1.2,1.0,0.9629232778590788
7.6,-0.0,-3.5,-8.2,-8.2,9.5,1.9,9.1,4.3,0.5,1.0,0.9668544702948976
-1.0,-0.0,-0.3,-4.7,-4.7,-7.0,2.5,0.6,0.1,3.3,1.0,0.9275121081298656
27.4,0.0,-28.2,-11.9,-11.9,8.9,0.7,4.7,20.1,3.0,1.0,0.9557334766281528
2.4,-2.7,-3.4,-9.3,-9.3,-1.3,1.1,10.7,3.2,8.9,1.0,0.9445153155281084
5.3,4.6,-1.3,-7.6,-7.6,8.2,2.7,12.7,3.9,3.9,1.0,0.9622678412594988
-0.0,0.3,-0.5,-9.8,-9.8,-7.6,2.1,1.8,0.7,1.3,1.0,0.9435265413955204
-0.0,-0.0,0.1,5.5,5.5,4.3,24.0,3.1,0.1,3.1,1.0,0.9606785130714468
0.2,-0.4,-0.4,-8.6,-8.6,0.1,3.5,1.8,0.9,1.1,1.0,0.9605225166238164
0.4,0.2,-2.8,-1.9,-1.9,6.0,1.3,6.8,0.4,8.4,1.0,0.940411588408248
0.1,-0.7,-8.8,-4.2,-4.2,1.8,0.5,4.5,0.3,7.1,0.0,0.9245313880564284
0.1,0.1,-0.2,-5.3,-5.3,2.8,8.0,2.3,0.6,3.5,0.0,0.9633347922468424
0.7,0.0,-0.5,-1.8,-1.8,7.2,4.1,6.5,0.7,0.7,1.0,0.9521873257767812
0.5,0.8,-1.1,-6.8,-6.8,6.5,1.9,3.7,0.8,1.0,1.0,0.9627813911351628
2.7,-5.2,-0.3,-8.7,-8.7,8.1,5.4,8.7,4.4,1.8,1.0,0.9736906579962364
2.0,1.8,-0.1,-3.1,-3.1,6.6,5.4,20.1,1.8,2.0,1.0,0.941843161774925
0.1,-1.3,-0.0,5.5,5.5,7.0,4.6,12.4,0.3,5.5,1.0,0.9165974397897196
12.5,0.1,-20.2,-6.3,-6.3,11.1,0.9,6.0,2.6,4.7,1.0,0.9413206225204019
18.1,-1.6,-18.8,-10.3,-10.3,10.2,1.1,4.5,9.2,3.0,1.0,0.9616291166465694
4.5,0.1,-0.2,-7.6,-7.6,6.3,6.9,11.4,4.4,6.0,1.0,0.9682777871398288
7.5,0.0,-0.1,-7.6,-7.6,9.9,4.4,31.7,8.0,10.4,1.0,0.9563161575894225
0.0,0.0,-2.5,-4.3,-4.3,-4.7,0.9,5.2,0.3,3.2,1.0,0.9162545502121616
-0.7,0.0,1.0,3.7,3.7,-3.6,17.9,4.9,0.1,1.5,1.0,0.9349927967237454
0.2,-0.0,-0.1,-5.2,-5.2,6.8,2.2,7.9,0.7,1.3,1.0,0.9572496082726384
0.3,0.3,-0.7,-8.4,-8.4,1.1,5.2,2.0,1.2,2.8,1.0,0.9637469912576592
0.0,7.3,-1.2,1.4,1.4,4.1,3.2,2.6,0.2,7.1,1.0,0.9309866060795976
0.1,-0.9,0.0,-4.1,-4.1,5.5,6.2,10.3,0.9,1.0,1.0,0.9556327303069704
0.7,-1.0,-2.1,-6.1,-6.1,2.5,4.6,2.4,0.8,4.9,1.0,0.9580545189731964
0.7,0.0,-1.3,-8.0,-8.0,-5.1,3.0,7.0,1.7,25.3,1.0,0.9425156309590592
2.0,-22.5,-1.3,-11.0,-11.0,-1.9,2.0,6.1,5.0,1.7,1.0,0.9648123602671408
3.2,-4.9,-1.4,-9.5,-9.5,-3.5,6.4,6.2,5.1,1.8,0.0,0.9586109690143549
1.1,-0.2,-1.7,-5.1,-5.1,8.5,2.2,5.2,0.9,3.0,1.0,0.9613013177500109
15.6,1.3,-5.5,-7.7,-7.7,10.4,2.3,13.4,7.3,6.8,1.0,0.965124568696674
1.3,4.4,-0.1,-1.5,-1.5,8.7,3.9,13.1,1.0,37.8,1.0,0.9519706943629876
-0.0,0.0,-0.0,1.0,1.0,5.5,5.1,2.5,0.2,1.7,0.0,0.9460152505564732
6.4,0.1,-3.9,-4.0,-4.0,10.7,2.0,8.2,1.6,9.5,1.0,0.9589762205808596
-0.0,-0.1,0.0,2.1,2.1,0.7,6.6,7.1,0.2,24.3,1.0,0.9285406752004542
-0.0,-2.9,0.0,6.6,6.6,0.6,6.9,10.5,0.1,1.6,1.0,0.8935529353646268
1.5,-0.2,-0.4,-3.6,-3.6,7.5,7.2,5.0,1.1,1.4,1.0,0.96441475973292
0.1,0.1,-0.3,2.8,2.8,8.2,3.9,7.7,0.4,3.3,1.0,0.9371250452628392
1.6,-12.9,-0.8,-8.8,-8.8,6.3,2.2,8.3,2.8,0.6,1.0,0.96879020479949
1.8,0.3,-2.9,-9.8,-9.8,-2.8,1.7,5.3,2.8,0.6,1.0,0.948032765088515
0.0,-0.0,-0.0,-5.7,-5.7,2.7,7.3,3.4,0.6,7.3,1.0,0.962946018461736
0.8,-0.1,-0.3,-4.3,-4.3,7.5,8.8,3.1,0.8,2.2,1.0,0.9692615026031364
0.8,0.8,-1.9,-8.7,-8.7,2.9,2.4,2.6,1.3,1.6,1.0,0.9617473583407841
0.0,-0.0,0.0,-0.1,-0.1,5.2,4.7,11.8,0.4,5.2,1.0,0.9364821453902974
0.8,-1.8,-0.2,-6.2,-6.2,7.4,2.8,9.6,1.4,4.6,1.0,0.9616758934968284
0.5,-0.1,-0.6,-6.8,-6.8,3.2,5.7,3.2,1.1,3.2,1.0,0.9636192784470698
0.4,-0.0,-1.2,-6.8,-6.8,8.1,2.0,2.2,0.6,2.5,1.0,0.9671015683010744
6.4,0.5,-8.0,-8.4,-8.4,6.9,1.8,5.6,3.4,1.8,1.0,0.9589832515846546
-7.2,0.0,-0.1,-9.5,-9.5,-10.3,0.1,80.1,0.5,1.5,0.0,0.6460345072536542
0.2,-0.0,-7.5,1.9,1.9,-0.4,2.8,2.0,0.2,1.0,1.0,0.8956533468355751
0.0,-0.3,-2.2,-3.9,-3.9,-7.5,2.4,3.3,0.3,5.1,1.0,0.912646287877522
-0.0,-18.5,0.0,3.5,3.5,6.7,8.7,2.7,0.2,21.4,1.0,0.9574647968942571
10.6,-19.6,-13.7,-8.4,-8.4,7.9,1.4,7.3,4.7,7.6,1.0,0.9598657229684592
1.2,6.1,-1.8,-8.9,-8.9,6.2,1.2,6.9,2.1,11.4,1.0,0.962931670645622
0.5,0.2,-0.0,-5.7,-5.7,7.4,4.9,12.7,1.6,2.5,1.0,0.9598059491934708
3.7,-0.1,-4.3,-6.8,-6.8,6.2,3.0,5.0,2.0,1.4,1.0,0.9598275111939408
3.8,-27.9,-1.2,-6.3,-6.3,9.9,3.2,8.5,2.4,2.8,1.0,0.9738320850317884
1.5,-1.2,-2.2,-4.8,-4.8,5.9,2.1,8.8,1.1,5.3,1.0,0.9511917753020788
7.7,0.7,-2.7,-9.3,-9.3,8.5,3.7,6.9,6.5,1.0,1.0,0.9726087362616332
1.3,9.0,-1.0,-7.2,-7.2,4.2,2.8,11.2,2.2,1.7,1.0,0.9510287391698966
0.6,0.1,-0.9,2.0,2.0,7.2,4.6,9.0,0.6,3.2,1.0,0.9359524139684352
0.3,0.0,-0.5,-0.8,-0.8,4.7,5.6,7.1,0.6,4.1,1.0,0.9450732034490548
2.3,-0.0,-5.9,-3.9,-3.9,6.2,2.1,5.3,0.9,11.0,1.0,0.9471675743704356
7.6,-1.5,-28.3,-11.0,-11.0,5.7,0.4,1.9,3.3,1.8,1.0,0.9294562167496287
0.1,-0.5,-1.0,2.1,2.1,6.8,2.4,4.1,0.2,2.5,0.0,0.9361669001106796
0.3,2.1,-4.5,-3.1,-3.1,2.0,1.3,4.7,0.4,1.1,1.0,0.929780334275102
1.5,28.4,-8.4,-7.9,-7.9,5.1,0.8,4.2,1.2,1.6,1.0,0.9372817469325808
0.3,0.0,-0.0,-5.6,-5.6,-4.0,10.0,9.6,1.5,5.2,1.0,0.9459233673678714
0.0,7.9,-0.7,-5.0,-5.0,2.8,2.5,2.8,0.4,3.3,1.0,0.9497961850221912
-0.7,13.9,0.0,5.2,5.2,-2.4,7.0,3.9,0.1,3.4,1.0,0.8900848229420947
0.5,-0.0,-4.4,-4.6,-4.6,5.0,0.9,6.0,0.6,0.5,1.0,0.9434262851287138
4.0,-14.2,-0.0,-3.9,-3.9,9.8,16.4,10.1,2.7,3.6,1.0,0.9788436390076608
1.3,-0.0,-0.4,-9.0,-9.0,1.3,3.5,4.1,2.0,4.8,1.0,0.9627557280362092
0.0,-0.0,-1.4,-7.2,-7.2,-0.2,1.0,2.4,0.4,5.5,1.0,0.949828909151672
0.0,-41.9,-0.3,-0.9,-0.9,3.3,2.8,3.2,0.2,0.9,1.0,0.9580885894734676
-0.6,11.5,0.0,-3.5,-3.5,-4.7,3.9,3.0,0.2,1.2,1.0,0.9230813942807764
2.4,-0.5,-1.9,-3.6,-3.6,9.0,2.7,5.6,0.9,16.2,1.0,0.9606345914053374
22.0,5.3,-17.2,-9.2,-9.2,9.9,1.3,11.2,11.1,6.3,1.0,0.9540164674023972
-0.6,-0.8,-0.0,-0.2,-0.2,-6.7,2.5,2.7,0.1,1.0,1.0,0.9021119135679344
0.1,-1.2,-0.0,-1.6,-1.6,5.5,5.8,5.1,0.4,1.1,1.0,0.953128830885066
21.9,-6.2,-12.8,-11.2,-11.2,10.0,1.9,4.5,16.1,1.2,1.0,0.9750304787154316
-0.0,0.1,-2.2,1.2,1.2,-0.7,3.6,1.4,0.1,20.7,1.0,0.923229350776331
12.9,0.5,-17.8,-12.7,-12.7,2.8,0.8,3.9,15.5,4.7,1.0,0.9556675215959608
0.1,0.3,-0.4,-7.3,-7.3,3.6,2.2,4.5,0.8,14.6,1.0,0.961001335482014
21.1,0.1,-13.0,-10.9,-10.9,9.5,0.9,12.8,17.9,4.8,1.0,0.96578265860817
0.2,0.0,-3.4,-7.1,-7.1,-4.5,1.8,4.7,0.9,1.7,1.0,0.9313683783951444
0.0,3.4,-0.0,-2.1,-2.1,8.7,4.7,3.3,0.3,0.6,1.0,0.9596490565257292
0.5,0.1,-4.0,-10.6,-10.6,-1.7,1.3,1.6,1.5,2.9,1.0,0.9541544159849468
2.4,-0.5,-3.3,-9.6,-9.6,5.7,1.4,5.1,2.9,2.3,1.0,0.965110739729526
2.4,-0.0,-2.5,-8.0,-8.0,1.0,1.9,12.4,2.9,1.9,1.0,0.9444716124090691
3.4,-0.0,-7.4,-7.6,-7.6,6.2,1.3,4.6,1.7,0.4,1.0,0.9547538870843636
0.1,-0.6,-0.0,-1.5,-1.5,4.1,6.4,7.0,0.6,1.4,1.0,0.9482187262804126
0.1,0.0,-0.0,-3.3,-3.3,7.8,5.5,6.5,0.6,2.9,1.0,0.9606966461115618
0.0,0.0,-2.1,-7.6,-7.6,0.6,1.7,2.2,0.5,1.1,1.0,0.9525686524943175
0.0,-0.6,0.0,-7.3,-7.3,-4.9,8.2,6.8,1.1,0.6,1.0,0.9486400752699156
0.6,0.8,-0.1,-1.4,-1.4,8.4,4.9,10.3,0.8,0.7,1.0,0.9511615487147268
0.2,0.0,-2.3,-6.6,-6.6,3.3,1.8,3.0,0.6,3.2,1.0,0.9550342152099972
3.0,0.3,-0.5,-4.7,-4.7,10.2,6.6,8.4,2.1,2.0,1.0,0.9683431170718632
0.0,0.3,-0.0,3.4,3.4,5.0,4.3,7.4,0.2,1.6,1.0,0.925611565632925
0.5,0.1,-1.7,-1.2,-1.2,5.2,4.0,4.9,0.5,8.4,1.0,0.9459519103191476
1.6,0.0,-1.2,-6.1,-6.1,3.7,3.4,8.9,1.7,2.9,1.0,0.9533716328262436
0.3,0.3,-0.4,-4.5,-4.5,0.5,7.2,4.1,0.8,2.2,1.0,0.9531538177613332
0.7,-0.8,-0.2,-7.1,-7.1,-0.6,8.1,7.9,2.1,0.6,1.0,0.9569440483704678
1.7,-0.7,-0.9,-6.2,-6.2,6.2,4.0,6.6,1.6,5.2,1.0,0.9628895915881408
-0.0,2.7,-0.3,2.4,2.4,-4.5,5.2,5.1,0.2,2.5,1.0,0.8972419863351774
2.9,-4.0,-3.5,-11.1,-11.1,2.3,2.3,3.4,5.0,1.4,1.0,0.966821375643838
1.9,-0.8,-0.2,5.5,5.5,10.9,6.6,12.7,0.6,0.6,1.0,0.9340361165883104
0.1,0.0,-0.0,-1.1,-1.1,7.2,5.5,5.6,0.4,1.3,1.0,0.9539826339202406
0.4,-1.0,-0.5,-4.2,-4.2,2.0,5.9,8.6,1.1,3.2,1.0,0.9490113875561998
0.0,-0.4,0.0,6.5,6.5,9.7,9.0,4.2,0.1,4.0,1.0,0.9436854028198748
0.0,-0.0,-0.3,0.6,0.6,-1.1,2.1,7.0,0.2,3.8,1.0,0.9110789639738224
11.6,-0.2,-5.6,-2.9,-2.9,10.7,2.7,15.0,2.8,10.7,1.0,0.9492527793798496
17.5,-0.0,-21.6,-12.3,-12.3,6.5,0.8,5.3,19.6,7.6,1.0,0.9589218249346064
0.6,-0.0,-0.1,-2.2,-2.2,9.0,3.3,6.6,0.6,0.9,1.0,0.9565392563252278
2.0,0.0,-6.9,-5.8,-5.8,4.0,1.7,5.6,1.2,5.0,1.0,0.9439712782837071
-1.1,0.1,-0.0,1.4,1.4,-8.8,5.8,1.8,0.1,1.3,1.0,0.8948184282300111
5.5,14.2,-7.8,-9.3,-9.3,7.5,1.4,6.7,4.4,0.7,0.0,0.9564780354480976
1.5,0.9,-0.2,-7.4,-7.4,7.5,4.7,8.1,2.3,4.4,1.0,0.9679558446068752
0.6,-0.0,-0.4,-4.5,-4.5,6.7,4.8,3.7,0.7,2.2,1.0,0.9627621206095972
0.3,0.0,-2.6,-5.3,-5.3,-1.4,2.9,3.7,0.7,1.4,1.0,0.939170563863517
0.6,3.4,-1.6,-5.8,-5.8,0.8,6.1,2.6,0.8,2.2,1.0,0.9544731735513668
-0.0,4.6,0.0,1.4,1.4,2.8,12.9,4.1,0.3,0.8,1.0,0.9482518784538376
0.3,-1.4,-0.3,-0.6,-0.6,5.4,6.5,6.0,0.6,1.4,1.0,0.9497286088356848
4.3,0.1,-1.5,-8.9,-8.9,10.8,1.0,10.3,3.5,1.3,1.0,0.9697229210661568
0.0,-0.1,-1.0,-4.9,-4.9,5.1,3.3,1.5,0.3,1.0,1.0,0.959397139870674
1.4,-3.1,-1.2,-5.4,-5.4,0.9,5.1,7.5,1.5,20.8,1.0,0.9530538201964236
12.2,1.9,-11.0,-9.0,-9.0,7.9,0.8,13.6,6.3,0.3,1.0,0.9504103098222241
0.0,-0.0,-0.4,1.6,1.6,7.1,2.2,6.9,0.3,2.8,1.0,0.935648654258846
0.0,1.2,-0.1,1.3,1.3,5.1,8.6,4.4,0.3,5.1,1.0,0.948085311132188
1.3,0.0,-0.5,-7.1,-7.1,3.8,5.4,6.3,1.9,0.9,1.0,0.9626404919475942
-0.4,-0.0,0.0,-4.6,-4.6,-7.8,8.5,1.4,0.2,1.2,1.0,0.9379058154669224
1.9,9.6,-7.7,-7.5,-7.5,4.2,0.6,5.2,1.1,5.4,1.0,0.9429006893260958
8.1,0.2,-14.0,-11.5,-11.5,-1.2,1.2,4.2,8.2,1.5,1.0,0.9431065394219008
0.0,0.0,-0.6,-2.3,-2.3,3.4,2.1,6.2,0.3,7.3,0.0,0.9412508526602112
2.1,0.2,-0.8,-4.1,-4.1,8.1,3.8,6.7,1.2,3.1,1.0,0.960368314477886
24.7,-0.0,-27.1,-9.7,-9.7,11.0,1.0,7.3,11.6,1.4,1.0,0.9476157411438008
1.1,-0.1,-1.3,3.2,3.2,7.8,5.9,6.8,0.5,5.2,1.0,0.9388123104092012
5.9,-2.8,-0.4,-6.4,-6.4,8.6,5.4,13.6,3.9,2.2,1.0,0.9662002249778872
0.9,0.0,-4.0,-7.6,-7.6,1.4,2.6,2.9,1.1,24.9,1.0,0.9560963382865132
0.5,-0.0,-1.7,-7.4,-7.4,5.1,1.5,2.9,0.7,1.0,1.0,0.9612420051327729
0.0,-1.3,-0.1,-5.5,-5.5,2.9,3.8,4.1,0.6,3.1,1.0,0.9568753802222982
0.5,0.1,-0.8,-6.6,-6.6,5.4,1.8,5.8,0.9,1.2,1.0,0.9587762188942128
3.0,-0.1,-0.7,-9.0,-9.0,5.0,6.1,5.7,4.1,0.8,1.0,0.9709767366080684
0.4,1.9,-1.6,-9.3,-9.3,-2.7,2.6,3.2,1.6,17.9,1.0,0.95392785753875
12.7,-0.2,-6.3,-12.1,-12.1,8.2,2.4,4.5,18.7,3.6,1.0,0.9784167980933258
3.7,-9.9,-1.0,-1.7,-1.7,8.4,8.6,5.7,1.2,3.9,1.0,0.9657636703011704
3.8,1.1,-7.1,-8.5,-8.5,5.8,1.8,3.5,2.2,3.7,1.0,0.959192092176372
2.2,-0.6,-4.1,-7.1,-7.1,7.8,1.4,3.9,1.2,15.4,1.0,0.9638293295429408
0.4,-0.1,-0.1,-6.4,-6.4,5.6,5.0,4.0,1.0,5.2,1.0,0.9660808518222684
1.4,2.0,-6.4,-9.1,-9.1,-3.8,2.9,2.3,1.8,0.9,1.0,0.9408608649660652
2.9,-0.4,-12.1,-8.7,-8.7,0.7,1.2,2.0,1.4,7.0,1.0,0.9398789582216704
3.0,-0.1,-7.5,-3.2,-3.2,9.4,0.9,7.3,0.8,0.6,1.0,0.9436005871736856
-0.7,0.0,0.1,-6.4,-6.4,-5.6,4.1,1.4,0.2,15.3,1.0,0.9444978055917076
9.6,0.2,-3.7,-9.7,-9.7,8.9,2.1,10.4,8.7,3.4,1.0,0.9702500022239732
2.7,-0.5,-4.4,-8.8,-8.8,3.3,3.1,3.1,2.4,1.4,0.0,0.961189079365878
0.8,-1.0,-0.2,-3.0,-3.0,8.4,2.6,13.2,0.9,5.6,1.0,0.9503005480407202
0.2,-0.1,-0.1,2.0,2.0,10.1,3.2,4.5,0.3,2.1,1.0,0.9483653553030652
-0.0,1.9,-0.1,-8.0,-8.0,-7.6,3.4,1.6,0.4,4.3,1.0,0.9402084070756388
-0.8,-0.1,0.0,7.9,7.9,4.5,4.0,3.7,0.0,3.5,1.0,0.9067122752925038
-0.0,4.7,0.0,0.6,0.6,-0.7,15.0,4.2,0.3,9.9,1.0,0.9473628154163672
-0.3,-2.1,-0.3,2.3,2.3,-5.1,2.1,2.4,0.1,1.4,1.0,0.8937414688843733
0.2,2.4,0.0,-2.9,-2.9,6.5,11.1,8.5,0.9,0.9,0.0,0.9622661448751992
1.9,0.0,-1.1,-11.2,-11.2,6.7,2.5,2.1,3.5,2.4,1.0,0.9752945418502
-0.3,0.1,-0.0,7.0,7.0,4.7,5.6,2.9,0.0,0.5,1.0,0.9180654360623272
18.0,-0.2,-8.1,-9.3,-9.3,11.9,2.3,6.3,9.4,8.1,1.0,0.9745154202268652
0.7,6.0,-0.4,-9.7,-9.7,4.1,2.7,3.7,2.0,8.8,1.0,0.9670475262637224
7.2,0.2,-2.3,-7.7,-7.7,9.0,5.8,12.6,6.7,2.0,1.0,0.9690826014386972
1.5,-1.5,-2.0,-7.6,-7.6,5.4,3.2,4.3,1.6,9.3,1.0,0.9649771328555178
3.9,0.0,-4.9,-5.5,-5.5,9.4,1.8,6.8,1.6,5.4,1.0,0.958764787876246
-0.0,-0.3,-0.0,-3.8,-3.8,5.1,3.2,3.5,0.3,0.7,0.0,0.9557411515940012
6.0,1.7,-5.3,-8.6,-8.6,4.0,1.4,12.1,4.4,4.6,1.0,0.950223205395054
-0.0,-0.2,-0.1,5.4,5.4,7.4,3.8,4.4,0.1,0.8,1.0,0.9282925590083364
2.1,-8.5,-12.7,-7.6,-7.6,7.5,0.5,3.5,1.0,2.1,1.0,0.9516290499938372
